Table 7-1: Transportation Energy Consumption by Energy Source: 2013,,,,,,,,,,,,,,
(Trillion Btu),,,,,,,,,,,,,,
State,Natural gas1,Petroleum,,,,,,Ethanol4,Electricity,Net energy4,Electrical system energy losses5,Total4,,
North Dakota,17.4,61.8,6.6,52.8,0.0,1.1,122.2,3.7,0.0,139.6,0.0,139.6,,
Ohio,11.1,236.5,75.2,588.2,0.0,9.0,908.7,41.5,0.2,920.0,0.3,920.3,,
Oklahoma,44.5,140.5,44.0,220.2,0.0,4.8,409.4,11.9,0.0,453.9,0.0,453.9,,
Oregon,4.3,89.9,25.9,173.4,3.8,3.7,296.8,9.7,0.1,301.2,0.1,301.3,,
Pennsylvania,43.0,215.9,41.5,592.8,6.3,8.0,864.7,40.0,2.8,910.4,5.6,916.0,,
Rhode Island,1.5,8.9,3.9,43.2,<0.05,0.4,56.5,3.0,0.1,58.1,0.1,58.3,,
South Carolina,2.6,107.4,11.6,319.5,9.7,2.0,450.3,21.0,0.0,452.9,0.0,452.9,,
South Dakota,7.1,31.5,3.8,51.8,0.0,1.2,88.3,3.6,0.0,95.4,0.0,95.4,,
Tennessee,8.2,144.3,63.6,375.0,0.3,4.8,588.0,26.4,<0.05,596.2,<0.05,596.2,,
Texas,304.9,749.2,386.7,"1,498.4",118.3,15.4,"2,767.9",93.6,0.2,"3,073.1",0.4,"3,073.5",,
Utah,14.5,68.1,36.3,129.0,0.0,1.4,234.9,7.5,0.2,249.6,0.4,250.0,,
Vermont,0.1,9.8,1.3,37.7,0.0,0.3,49.1,2.5,0.0,49.2,0.0,49.2,,
Virginia,9.1,148.6,100.1,465.9,4.1,3.4,722.2,31.9,0.7,732.0,1.4,733.4,,
Washington,11.1,106.6,89.7,321.0,60.2,4.4,581.8,17.9,<0.05,592.9,<0.05,593.0,,
West Virginia,31.9,41.3,1.2,94.3,0.0,1.5,138.3,6.2,<0.05,170.1,<0.05,170.2,,
Wisconsin,3.0,105.4,8.9,290.5,0.0,4.5,409.2,20.3,0.0,412.2,0.0,412.2,,
Wyoming,16.0,53.8,2.3,41.0,0.0,0.8,98.0,2.4,0.0,114.0,0.0,114.0,,
"United States, total",921.3,"5,909.6","2,968.6","16,034.9",581.2,197.3,"25,691.4","1,071.6",26.0,"26,638.7",50.7,"26,689.4",,
"1Transportation use of natural gas is gas consumed in the operation of pipelines, primarily in compressors, and gas consumed as vehicle fuel.",,,,,,,,,,,,,,
2Includes ethanol blended into motor gasoline.,,,,,,,,,,,,,,
"3""Other"" is the sum of aviation gasoline, liquefied petroleum gas (LPG), and lubricants.",,,,,,,,,,,,,,
"4Ethanol blended into motor gasoline is included in motor gasoline, but is also shown separately to display the use of renewable energy by the transportation sector.  It is counted only once in the total.",,,,,,,,,,,,,,
"5Incurred in the generation, transmission, and distribution of electricity plus plant use and unaccounted for electrical system energy losses.",,,,,,,,,,,,,,
KEY: Btu = British thermal unit,,,,,,,,,,,,,,
NOTE: Totals may not equal sum of components due to independent rounding.,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Energy, Energy Information Administration, State Energy Data System, Consumption Estimates, available at www.eia.gov/state/seds as of July 2015.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
